,route_short_name,direction_id,stop_id,stop_lat,stop_lon
433665,RED,0,908695,33.640831,-84.446198
433846,RED,0,908599,33.650577,-84.448656
434027,RED,0,908628,33.677424,-84.44054200000001
434208,RED,0,908629,33.70088,-84.428768
434389,RED,0,908301,33.7173,-84.42503
434570,RED,0,908704,33.736564,-84.413653
434751,RED,0,908600,33.748938,-84.395545
434932,RED,0,908986,33.754052,-84.391452
435113,RED,0,908601,33.758189,-84.387596
435294,RED,0,908912,33.766236,-84.387504
435475,RED,0,907914,33.771741,-84.387204
435656,RED,0,908375,33.781355,-84.386353
435837,RED,0,906369,33.789669,-84.387414
436998,RED,1,906370,33.788828,-84.387272
437179,RED,1,908374,33.781247,-84.386342
437360,RED,1,907913,33.771471999999996,-84.387258
437541,RED,1,908911,33.766110999999995,-84.387504
437722,RED,1,907842,33.758082,-84.38759499999999
437903,RED,1,908976,33.753899,-84.39156
438084,RED,1,907843,33.748696,-84.395741
438265,RED,1,908705,33.735704999999996,-84.413663
438446,RED,1,908302,33.716978000000005,-84.425138
438627,RED,1,908706,33.700298,-84.428865
438808,RED,1,908707,33.676984999999995,-84.440704
438989,RED,1,907844,33.650282000000004,-84.448612
439170,RED,0,907775,33.823501,-84.369313
439268,RED,0,908639,33.847944,-84.367716
439366,RED,0,908885,33.910739,-84.351759
439464,RED,0,908047,33.92113,-84.344268
439562,RED,0,907845,33.931671,-84.351069
439660,RED,0,907766,33.94495,-84.357275
439758,RED,1,908480,33.944377,-84.357253
439856,RED,1,907846,33.931564,-84.35096
439954,RED,1,908051,33.920862,-84.344213
440052,RED,1,908872,33.910757000000004,-84.35189
440150,RED,1,908718,33.847809999999996,-84.36762900000001
440248,RED,1,907823,33.823446999999994,-84.369324
440346,RED,1,906837,33.640294,-84.446197
440429,GREEN,0,907960,33.772159,-84.428873
440521,GREEN,0,908963,33.756478,-84.41723
440613,BLUE,0,908963,33.756478,-84.41723
440709,GREEN,0,908958,33.756613,-84.403902
440801,BLUE,0,908958,33.756613,-84.403902
440897,GREEN,0,908435,33.756178999999996,-84.397215
440976,BLUE,0,908435,33.756178999999996,-84.397215
441072,GREEN,0,908981,33.753837,-84.391397
441151,BLUE,0,908981,33.753837,-84.391397
441248,GREEN,0,908696,33.750143,-84.385882
441327,BLUE,0,908696,33.750143,-84.385882
441423,GREEN,0,908436,33.749951,-84.375675
441502,BLUE,0,908436,33.749951,-84.375675
441598,GREEN,0,908437,33.757451,-84.352762
441677,BLUE,0,908437,33.757451,-84.352762
441773,GREEN,0,908699,33.761866,-84.340456
441852,BLUE,0,908699,33.761866,-84.340456
441948,GREEN,1,908476,33.761803,-84.340825
442031,BLUE,1,908476,33.761803,-84.340825
442128,GREEN,1,908692,33.757227,-84.353066
442211,BLUE,1,908692,33.757227,-84.353066
442308,GREEN,1,908693,33.749853,-84.37599
442391,BLUE,1,908693,33.749853,-84.37599
442488,GREEN,1,908618,33.750161,-84.385915
442571,BLUE,1,908618,33.750161,-84.385915
442668,GREEN,1,908990,33.754123,-84.391876
442751,BLUE,1,908990,33.754123,-84.391876
442849,GREEN,1,908694,33.756187,-84.39729100000001
442932,BLUE,1,908694,33.756187,-84.39729100000001
443029,GREEN,1,908959,33.756613,-84.404021
443124,BLUE,1,908959,33.756613,-84.404021
443221,GREEN,1,908964,33.756477000000004,-84.417328
443316,BLUE,1,908964,33.756477000000004,-84.417328
443413,GREEN,1,907961,33.772436,-84.42890600000001
443508,BLUE,0,907933,33.754553,-84.469302
443604,BLUE,0,908023,33.753328,-84.445329
443700,BLUE,0,908566,33.765240999999996,-84.312937
443796,BLUE,0,908700,33.774681,-84.29531899999999
443892,BLUE,0,908438,33.775554,-84.281487
443989,BLUE,0,908634,33.772647,-84.25160699999999
444086,BLUE,0,908515,33.769856,-84.22890600000001
444183,BLUE,1,908516,33.769892999999996,-84.229874
444280,BLUE,1,908709,33.772764,-84.252151
444377,BLUE,1,908691,33.775214,-84.282466
444474,BLUE,1,908475,33.774699,-84.295417
444571,BLUE,1,908567,33.765196,-84.313426
444668,BLUE,1,907906,33.753246999999995,-84.44556800000001
444765,BLUE,1,907907,33.754517,-84.469824
